"","mouse","treatment","genotype","count","area","areaSE","perimeter","perimeterSE","casp","caspSE","edu","eduSE","tunel","tunelSE","caspArea","caspAreaSE","eduArea","eduAreaSE","tunelArea","tunelAreaSE"
"1","AL16","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",142,24363.5563380282,3099.5560953571,740.023732394366,54.4234516856123,0.0154402824841395,0.00302314629288253,0.110556163893375,0.00936384715944078,0.10438313120131,0.0522203457743552,0.00324242716215581,0.000682917413115456,0.0191825221392896,0.0022637532963342,0.0139210863233554,0.0067420386327169
"2","AL16","UV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",104,54892.1346153846,3988.53760200243,1326.15251923077,77.5206043989364,0.274740533978394,0.0214783701236215,0.0174300267884141,0.00201357305387275,0.223042121619936,0.0485290911508845,0.0584431513206358,0.00413291956967941,0.0046309741115064,0.000596828857198033,0.0303168872781494,0.00411639316729957
"3","AL17","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",185,45091.3027027027,3069.98899358163,1043.34211891892,48.603100278968,0.0803439288963687,0.014611490600559,0.491438576215874,0.0306113749436784,0.52419178133351,0.160420268227352,0.0122855387213025,0.00186189017213901,0.0875348124060118,0.00515617935206775,0.0412188589829729,0.0110626878522347
"4","AL17","UV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",181,52852.0662983425,2777.37648461621,1210.64582320442,45.6667035412772,0.231435937376101,0.0132425699497321,0.0300910431101273,0.0023984265055298,0.338988216320519,0.0975560878329039,0.0457292244673427,0.00232317327483515,0.00647308899925243,0.000500958619650275,0.0413906585724149,0.00799276067912828
"5","AL18","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",224,45272.625,2753.38044453858,1053.37724107143,43.2665185426092,0.255585869719196,0.0121642471767397,0.493854099318527,0.0192212069986861,0.166475896740446,0.00619799889245639,0.0271917490295089,0.000948652412696827,0.0571975622760268,0.00210217085065903,0.0171910792650893,0.000324401146838246
"6","AL18","UV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",173,52699.9190751445,3508.77786349288,1260.15240462428,58.4853874483555,0.0938143785975965,0.00751238958176806,0.0256450884952026,0.00358024491053424,0.0339102659444818,0.0206875892177607,0.0091585565877817,0.000768864462798047,0.0032927006220629,0.000492095482225642,0.00286004583029391,0.0013356098760391
"7","AL21","NOUV","italic(""Villin-cre, Bai1""^{
    ""WT/Tg""
})",140,45279.5,3213.84742335193,1066.76807142857,53.5029809356563,0.0288127187925496,0.0048722517964009,0.177422543198562,0.0175927631195095,0.0158161985985487,0.0026249763246263,0.00418086629367106,0.000598530866257369,0.0275532940568387,0.00255947326269309,0.00193844222816691,0.00032415444545943
"8","AL21","UV","italic(""Villin-cre, Bai1""^{
    ""WT/Tg""
})",113,58929.4867256637,3521.10760540252,1292.24856637168,55.5819464044042,0.155441231494696,0.0114671852654653,0.036936889231196,0.00413678237442683,0.315570129938099,0.0604390064533443,0.0267775552249871,0.00171440342378827,0.00680844029657478,0.000738712659997392,0.0439625473005072,0.00657424992643386
"9","AT1","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",78,46507.9871794872,4184.69795948912,1117.62330769231,60.8554310727814,0.167868977630701,0.0193553302392684,0.20133633541091,0.0295059753199144,0.0284940743168577,0.00894079843794733,0.0243143217638269,0.00278170709966324,0.0289382251616887,0.00414726746781851,0.00339211359291141,0.000781892805949776
"10","AT1","UV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",63,43608.4761904762,4024.22126173098,1157.194,60.2342007264743,0.457069223832222,0.0230710274480497,0.0361528139153856,0.00981871186128576,0.104083756399984,0.0108007650585828,0.058921900947619,0.00323543168740182,0.00431470495650169,0.00113155744134214,0.0144467391407254,0.0016673348790485
"11","AT2","NOUV","italic(""Villin-cre, Bai1""^{
    ""WT/Tg""
})",59,41110.6610169492,4728.63436288112,976.293898305085,71.4596934835023,0.143412498549029,0.0257796429242845,0.275095410774151,0.0248112729389127,0.0412097869415593,0.0122602217589547,0.0234917481815597,0.00418429363810326,0.049174266043849,0.00454007420338709,0.00809872800866627,0.00296853008251097
"12","AT2","UV","italic(""Villin-cre, Bai1""^{
    ""WT/Tg""
})",67,41529.7164179105,4595.35890824814,1002.24880597015,63.9434150274399,0.616466480732836,0.051766790438195,0.0731675502524519,0.0167797386800375,0.470667789838657,0.0774297367766993,0.0859418173719403,0.00489336700744271,0.00908019331355893,0.00160255360273001,0.0702128501275373,0.00958260961822055
"13","AT3","NOUV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",88,45704.7613636364,4128.23547722658,1029.88656818182,59.3126526487819,0.0621450094393984,0.00926993524929538,0.494780396217386,0.0273061804130837,0.0189282879721591,0.00236938601622993,0.00957367908619065,0.00125001121726548,0.0885089935869091,0.00548940600913063,0.00296885766635682,0.000372393763963587
"14","AT3","UV","""Control,"" ~ italic(""Bai1""^{
    ""WT/WT""
})",40,61806.4,6989.3041318274,1202.6381,89.3318097253716,0.661371797205,0.0498707034826389,0.0337062982577553,0.00574540829318267,0.1651943695354,0.029031207806848,0.145286690125,0.00727110226118758,0.00870236571735592,0.00144566337633337,0.03335692555782,0.00485174211222385
"15","AT7","NOUV","italic(""Villin-cre, Bai1""^{
    ""WT/Tg""
})",30,53589.5666666667,7056.83135637911,1227.26386666667,93.5961787582266,0.056163160003333,0.0153287336269994,0.393908678617,0.0401744352170565,0.0106751289050667,0.00263368942983587,0.0084628208372932,0.00204942781351153,0.0611994899003333,0.00628049105113429,0.00169191123026333,0.000440937370932038
